Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Ukraine
392099 -- Of other plastics,,10.00,10.00,19,,,,Ukraine
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Ukraine
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Ukraine
392113 -- Of polyurethanes,,10.00,10.00,2,,,,Ukraine
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Ukraine
392119 -- Of other plastics,,10.00,10.00,1,,,,Ukraine
392190 - Other,,10.00,10.00,22,,,,Ukraine
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Ukraine
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Ukraine
392290 - Other,"2,763",10.00,10.00,1,,,,Ukraine
"392310 - Boxes, cases, crates and similar articles",72,10.00,10.00,5,,,,Ukraine
392321 -- Of polymers of ethylene,,10.00,10.00,1,,,,Ukraine
392329 -- Of other plastics,,10.00,10.00,2,,,,Ukraine
"392330 - Carboys, bottles, flasks and similar articles",311,10.00,10.00,2,,,,Ukraine
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Ukraine
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Ukraine
392390 - Other,66,10.00,10.00,3,,,,Ukraine
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Ukraine
392490 - Other,208,10.00,10.00,3,,,,Ukraine
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Ukraine
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Ukraine
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Ukraine
392590 - Other,107,10.00,10.00,2,,,,Ukraine
392610 - Office or school supplies,,10.00,10.00,4,,,,Ukraine
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Ukraine
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Ukraine
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Ukraine
392690 - Other,"4,221",10.00,10.00,16,,,,Ukraine
,2009,"222,287",10.00,10.00,411,,,,Ukraine
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Ukraine
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Ukraine
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Ukraine
390190 - Other,,10.00,10.00,2,,,,Ukraine
390210 - Polypropylene,,10.00,10.00,1,,,,Ukraine
390220 - Polyisobutylene,,10.00,10.00,1,,,,Ukraine
390230 - Propylene copolymers,,10.00,10.00,1,,,,Ukraine
390290 - Other,,10.00,10.00,1,,,,Ukraine
390311 -- Expansible,,10.00,10.00,1,,,,Ukraine
390319 -- Other,,10.00,10.00,2,,,,Ukraine
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Ukraine
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Ukraine
390390 - Other,,10.00,10.00,3,,,,Ukraine
"390410 - Poly(vinyl chloride), not mixed with any other substances","6,938",10.00,10.00,2,,,,Ukraine
390421 -- Non-plasticised,,10.00,10.00,2,,,,Ukraine
390422 -- Plasticised,,10.00,10.00,2,,,,Ukraine
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Ukraine
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Ukraine
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Ukraine
390461 -- Polytetrafluoroethylene,,10.00,10.00,1,,,,Ukraine
390469 -- Other,,10.00,10.00,2,,,,Ukraine
390490 - Other,,10.00,10.00,1,,,,Ukraine
390512 -- In aqueous dispersion,,10.00,10.00,3,,,,Ukraine
390519 -- Other,,10.00,10.00,3,,,,Ukraine
390521 -- In aqueous dispersion,,10.00,10.00,1,,,,Ukraine
390529 -- Other,,10.00,10.00,1,,,,Ukraine
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Ukraine
390591 -- Copolymers,,10.00,10.00,1,,,,Ukraine
390599 -- Other,,10.00,10.00,2,,,,Ukraine
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Ukraine
390690 - Other,,10.00,10.00,4,,,,Ukraine
390710 - Polyacetals,,10.00,10.00,1,,,,Ukraine
390720 - Other polyethers,,10.00,10.00,2,,,,Ukraine
390730 - Epoxide resins,,10.00,10.00,2,,,,Ukraine
390740 - Polycarbonates,,10.00,10.00,1,,,,Ukraine
390750 - Alkyd resins,,10.00,10.00,1,,,,Ukraine
390760 - Poly(ethylene terephthalate),,10.00,10.00,3,,,,Ukraine
390770 - Poly(lactic acid),,10.00,10.00,1,,,,Ukraine
390791 -- Unsaturated,,10.00,10.00,6,,,,Ukraine
390799 -- Other,,10.00,10.00,3,,,,Ukraine
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Ukraine
390890 - Other,,10.00,10.00,3,,,,Ukraine
390910 - Urea resins; thiourea resins,,10.00,10.00,2,,,,Ukraine
390920 - Melamine resins,,10.00,10.00,2,,,,Ukraine
390930 - Other amino-resins,,10.00,10.00,2,,,,Ukraine
390940 - Phenolic resins,,10.00,10.00,7,,,,Ukraine
390950 - Polyurethanes,,10.00,10.00,1,,,,Ukraine
391000 Silicones in primary forms.,"3,693",10.00,10.00,3,,,,Ukraine
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,2,,,,Ukraine
391190 - Other,,10.00,10.00,2,,,,Ukraine
391211 -- Non-plasticised,,10.00,10.00,5,,,,Ukraine
391212 -- Plasticised,,10.00,10.00,4,,,,Ukraine
391220 - Cellulose nitrates (including collodions),,10.00,10.00,4,,,,Ukraine
391231 -- Carboxymethylcellulose and its salts,,10.00,10.00,1,,,,Ukraine
391239 -- Other,,10.00,10.00,6,,,,Ukraine
391290 - Other,,10.00,10.00,3,,,,Ukraine
"391310 - Alginic acid, its salts and esters",,10.00,10.00,2,,,,Ukraine
391390 - Other,,10.00,10.00,5,,,,Ukraine
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,10.00,10.00,3,,,,Ukraine
391510 - Of polymers of ethylene,,10.00,10.00,1,,,,Ukraine
391520 - Of polymers of styrene,,10.00,10.00,1,,,,Ukraine
391530 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Ukraine
391590 - Of other plastics,,10.00,10.00,17,,,,Ukraine
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Ukraine
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Ukraine
391690 - Of other plastics,,10.00,10.00,17,,,,Ukraine
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Ukraine
391721 -- Of polymers of ethylene,,10.00,10.00,2,,,,Ukraine
391722 -- Of polymers of propylene,,10.00,10.00,1,,,,Ukraine
391723 -- Of polymers of vinyl chloride,,10.00,10.00,2,,,,Ukraine
391729 -- Of other plastics,,10.00,10.00,6,,,,Ukraine
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Ukraine
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","14,276",10.00,10.00,3,,,,Ukraine
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Ukraine
391739 -- Other,"10,707",10.00,10.00,3,,,,Ukraine
391740 - Fittings,,10.00,10.00,1,,,,Ukraine
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Ukraine
391890 - Of other plastics,,10.00,10.00,3,,,,Ukraine
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Ukraine
391990 - Other,,10.00,10.00,3,,,,Ukraine
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Ukraine
392020 - Of polymers of propylene,"106,086",10.00,10.00,3,,,,Ukraine
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Ukraine
392043 -- Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Ukraine
392049 -- Other,,10.00,10.00,1,,,,Ukraine
392051 -- Of poly(methyl methacrylate),,10.00,10.00,6,,,,Ukraine
392059 -- Other,,10.00,10.00,6,,,,Ukraine
392061 -- Of polycarbonates,,10.00,10.00,3,,,,Ukraine
392062 -- Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Ukraine
392063 -- Of unsaturated polyesters,,10.00,10.00,3,,,,Ukraine
392069 -- Of other polyesters,,10.00,10.00,12,,,,Ukraine
392071 -- Of regenerated cellulose,,10.00,10.00,7,,,,Ukraine
392073 -- Of cellulose acetate,,10.00,10.00,9,,,,Ukraine
392079 -- Of other cellulose derivatives,,10.00,10.00,6,,,,Ukraine
392091 -- Of poly(vinyl butyral),,10.00,10.00,3,,,,Ukraine
392092 -- Of polyamides,,10.00,10.00,6,,,,Ukraine
392093 -- Of amino-resins,,10.00,10.00,3,,,,Ukraine
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Ukraine
392099 -- Of other plastics,,10.00,10.00,19,,,,Ukraine
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Ukraine
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Ukraine
392113 -- Of polyurethanes,,10.00,10.00,2,,,,Ukraine
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Ukraine
392119 -- Of other plastics,,10.00,10.00,1,,,,Ukraine
392190 - Other,,10.00,10.00,22,,,,Ukraine
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Ukraine
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Ukraine
392290 - Other,484,10.00,10.00,1,,,,Ukraine
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Ukraine
392321 -- Of polymers of ethylene,10,10.00,10.00,1,,,,Ukraine
392329 -- Of other plastics,,10.00,10.00,2,,,,Ukraine
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Ukraine
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Ukraine
"392350 - Stoppers, lids, caps and other closures",62,10.00,10.00,2,,,,Ukraine
392390 - Other,,10.00,10.00,3,,,,Ukraine
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Ukraine
392490 - Other,,10.00,10.00,3,,,,Ukraine
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Ukraine
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Ukraine
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Ukraine
392590 - Other,75,10.00,10.00,2,,,,Ukraine
392610 - Office or school supplies,,10.00,10.00,4,,,,Ukraine
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Ukraine
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Ukraine
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Ukraine
392690 - Other,"79,956",10.00,10.00,16,,,,Ukraine
,2008,"572,979",8.95,8.95,411,,,,Ukraine
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,Ukraine
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,1,,,,Ukraine
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,1,,,,Ukraine
390190 - Other,"28,217",5.00,5.00,2,,,,Ukraine
390210 - Polypropylene,"403,261",5.00,5.00,1,,,,Ukraine
390220 - Polyisobutylene,,7.50,7.50,1,,,,Ukraine
390230 - Propylene copolymers,,5.00,5.00,1,,,,Ukraine
390290 - Other,,5.00,5.00,1,,,,Ukraine
390311 -- Expansible,,5.00,5.00,1,,,,Ukraine
390319 -- Other,,5.00,5.00,2,,,,Ukraine
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,1,,,,Ukraine
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,1,,,,Ukraine
390390 - Other,,5.00,5.00,3,,,,Ukraine
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,Ukraine
390421 -- Non-plasticised,,5.00,5.00,2,,,,Ukraine
390422 -- Plasticised,,5.00,5.00,2,,,,Ukraine
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,Ukraine
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Ukraine
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Ukraine
390461 -- Polytetrafluoroethylene,,7.50,7.50,1,,,,Ukraine
390469 -- Other,,7.50,7.50,2,,,,Ukraine
390490 - Other,,7.50,7.50,1,,,,Ukraine
390512 -- In aqueous dispersion,,7.50,7.50,3,,,,Ukraine
390519 -- Other,,7.50,7.50,3,,,,Ukraine
390521 -- In aqueous dispersion,,7.50,7.50,1,,,,Ukraine
390529 -- Other,,7.50,7.50,1,,,,Ukraine
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,7.50,1,,,,Ukraine
390591 -- Copolymers,,7.50,7.50,1,,,,Ukraine
390599 -- Other,,7.50,7.50,2,,,,Ukraine
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Ukraine
390690 - Other,,7.50,7.50,4,,,,Ukraine
390710 - Polyacetals,,7.50,7.50,1,,,,Ukraine
390720 - Other polyethers,,7.50,7.50,2,,,,Ukraine
390730 - Epoxide resins,,7.50,7.50,2,,,,Ukraine
390740 - Polycarbonates,,5.00,5.00,1,,,,Ukraine
390750 - Alkyd resins,,7.50,7.50,1,,,,Ukraine
390760 - Poly(ethylene terephthalate),,7.50,7.50,3,,,,Ukraine
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Ukraine
390791 -- Unsaturated,,7.50,7.50,6,,,,Ukraine
390799 -- Other,,7.50,7.50,3,,,,Ukraine
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Ukraine
390890 - Other,,10.00,10.00,3,,,,Ukraine
390910 - Urea resins; thiourea resins,,7.50,7.50,2,,,,Ukraine
390920 - Melamine resins,,7.50,7.50,2,,,,Ukraine
390930 - Other amino-resins,,7.50,7.50,2,,,,Ukraine
390940 - Phenolic resins,,7.50,7.50,7,,,,Ukraine
390950 - Polyurethanes,,7.50,7.50,1,,,,Ukraine
391000 Silicones in primary forms.,,7.50,7.50,3,,,,Ukraine
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,7.50,2,,,,Ukraine
391190 - Other,,7.50,7.50,2,,,,Ukraine
391211 -- Non-plasticised,,7.50,7.50,5,,,,Ukraine
391212 -- Plasticised,,7.50,7.50,4,,,,Ukraine
391220 - Cellulose nitrates (including collodions),,7.50,7.50,4,,,,Ukraine
391231 -- Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Ukraine
391239 -- Other,,7.50,7.50,6,,,,Ukraine
391290 - Other,,7.50,7.50,3,,,,Ukraine
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Ukraine
391390 - Other,,7.50,7.50,5,,,,Ukraine
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,7.50,3,,,,Ukraine
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Ukraine
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Ukraine
391530 - Of polymers of vinyl chloride,,7.50,7.50,2,,,,Ukraine
391590 - Of other plastics,,7.50,7.50,17,,,,Ukraine
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Ukraine
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Ukraine
391690 - Of other plastics,,10.00,10.00,17,,,,Ukraine
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,179,10.00,10.00,2,,,,Ukraine
391721 -- Of polymers of ethylene,,10.00,10.00,2,,,,Ukraine
391722 -- Of polymers of propylene,,10.00,10.00,1,,,,Ukraine
391723 -- Of polymers of vinyl chloride,,10.00,10.00,2,,,,Ukraine
391729 -- Of other plastics,,10.00,10.00,6,,,,Ukraine
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Ukraine
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","7,748",10.00,10.00,3,,,,Ukraine
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Ukraine
391739 -- Other,"5,811",10.00,10.00,3,,,,Ukraine
391740 - Fittings,675,10.00,10.00,1,,,,Ukraine
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Ukraine
391890 - Of other plastics,,10.00,10.00,3,,,,Ukraine
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Ukraine
391990 - Other,358,10.00,10.00,3,,,,Ukraine
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Ukraine
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Ukraine
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Ukraine
392043 -- Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Ukraine
392049 -- Other,,10.00,10.00,1,,,,Ukraine
392051 -- Of poly(methyl methacrylate),,10.00,10.00,6,,,,Ukraine
392059 -- Other,,10.00,10.00,6,,,,Ukraine
392061 -- Of polycarbonates,,10.00,10.00,3,,,,Ukraine
392062 -- Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Ukraine
392063 -- Of unsaturated polyesters,,10.00,10.00,3,,,,Ukraine
392069 -- Of other polyesters,,10.00,10.00,12,,,,Ukraine
392071 -- Of regenerated cellulose,,10.00,10.00,7,,,,Ukraine
392073 -- Of cellulose acetate,,10.00,10.00,9,,,,Ukraine
392079 -- Of other cellulose derivatives,,10.00,10.00,6,,,,Ukraine
392091 -- Of poly(vinyl butyral),,10.00,10.00,3,,,,Ukraine
392092 -- Of polyamides,,10.00,10.00,6,,,,Ukraine
392093 -- Of amino-resins,,10.00,10.00,3,,,,Ukraine
392094 -- Of phenolic resins,,10.00,10.00,3,,,,Ukraine
392099 -- Of other plastics,"5,765",10.00,10.00,19,,,,Ukraine
392111 -- Of polymers of styrene,,10.00,10.00,1,,,,Ukraine
392112 -- Of polymers of vinyl chloride,,10.00,10.00,1,,,,Ukraine
392113 -- Of polyurethanes,,10.00,10.00,2,,,,Ukraine
392114 -- Of regenerated cellulose,,10.00,10.00,1,,,,Ukraine
392119 -- Of other plastics,,10.00,10.00,1,,,,Ukraine
392190 - Other,"114,412",10.00,10.00,22,,,,Ukraine
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Ukraine
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Ukraine
392290 - Other,,10.00,10.00,1,,,,Ukraine
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Ukraine
392321 -- Of polymers of ethylene,,10.00,10.00,1,,,,Ukraine
392329 -- Of other plastics,120,10.00,10.00,2,,,,Ukraine
"392330 - Carboys, bottles, flasks and similar articles",,10.00,10.00,2,,,,Ukraine
"392340 - Spools, cops, bobbins and similar supports",,10.00,10.00,1,,,,Ukraine
"392350 - Stoppers, lids, caps and other closures",,10.00,10.00,2,,,,Ukraine
392390 - Other,,10.00,10.00,3,,,,Ukraine
392410 - Tableware and kitchenware,,10.00,10.00,2,,,,Ukraine
392490 - Other,,10.00,10.00,3,,,,Ukraine
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,10.00,10.00,1,,,,Ukraine
"392520 - Doors, windows and their frames and thresholds for doors",,10.00,10.00,1,,,,Ukraine
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,10.00,10.00,1,,,,Ukraine
392590 - Other,,10.00,10.00,2,,,,Ukraine
392610 - Office or school supplies,,10.00,10.00,4,,,,Ukraine
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,10.00,10.00,10,,,,Ukraine
"392630 - Fittings for furniture, coachwork or the like",,10.00,10.00,2,,,,Ukraine
392640 - Statuettes and other ornamental articles,,10.00,10.00,13,,,,Ukraine
392690 - Other,"6,435",10.00,10.00,16,,,,Ukraine
,2007,"230,338",9.05,9.05,411,,,,Ukraine
390110 - Polyethylene having a specific gravity of less than 0.94,,7.50,7.50,2,,,,Ukraine
390120 - Polyethylene having a specific gravity of 0.94 or more,,7.50,7.50,1,,,,Ukraine
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,1,,,,Ukraine
390190 - Other,,7.50,7.50,2,,,,Ukraine
390210 - Polypropylene,,7.50,7.50,1,,,,Ukraine
390220 - Polyisobutylene,,7.50,7.50,1,,,,Ukraine
390230 - Propylene copolymers,,7.50,7.50,1,,,,Ukraine
390290 - Other,,7.50,7.50,1,,,,Ukraine
390311 -- Expansible,,5.00,5.00,1,,,,Ukraine
390319 -- Other,,5.00,5.00,2,,,,Ukraine
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,1,,,,Ukraine
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,1,,,,Ukraine
390390 - Other,,5.00,5.00,3,,,,Ukraine
"390410 - Poly(vinyl chloride), not mixed with any other substances",,7.50,7.50,2,,,,Ukraine
390421 -- Non-plasticised,,7.50,7.50,2,,,,Ukraine
390422 -- Plasticised,,7.50,7.50,2,,,,Ukraine
390430 - Vinyl chloride-vinyl acetate copolymers,,7.50,7.50,2,,,,Ukraine
390440 - Other vinyl chloride copolymers,,7.50,7.50,1,,,,Ukraine
390450 - Vinylidene chloride polymers,,7.50,7.50,2,,,,Ukraine
390461 -- Polytetrafluoroethylene,,7.50,7.50,1,,,,Ukraine
390469 -- Other,,7.50,7.50,2,,,,Ukraine
390490 - Other,,7.50,7.50,1,,,,Ukraine
390512 -- In aqueous dispersion,,7.50,7.50,3,,,,Ukraine
390519 -- Other,,7.50,7.50,3,,,,Ukraine
390521 -- In aqueous dispersion,,7.50,7.50,1,,,,Ukraine
390529 -- Other,,7.50,7.50,1,,,,Ukraine
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,7.50,7.50,1,,,,Ukraine
390591 -- Copolymers,,7.50,7.50,1,,,,Ukraine
390599 -- Other,,7.50,7.50,2,,,,Ukraine
390610 - Poly(methyl methacrylate),,7.50,7.50,2,,,,Ukraine
390690 - Other,,7.50,7.50,4,,,,Ukraine
390710 - Polyacetals,,7.50,7.50,1,,,,Ukraine
390720 - Other polyethers,,7.50,7.50,2,,,,Ukraine
390730 - Epoxide resins,,7.50,7.50,2,,,,Ukraine
390740 - Polycarbonates,,5.00,5.00,1,,,,Ukraine
390750 - Alkyd resins,,7.50,7.50,1,,,,Ukraine
390760 - Poly(ethylene terephthalate),,7.50,7.50,3,,,,Ukraine
390770 - Poly(lactic acid),,7.50,7.50,1,,,,Ukraine
390791 -- Unsaturated,,7.50,7.50,6,,,,Ukraine
390799 -- Other,,7.50,7.50,3,,,,Ukraine
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Ukraine
390890 - Other,,10.00,10.00,3,,,,Ukraine
390910 - Urea resins; thiourea resins,,7.50,7.50,2,,,,Ukraine
390920 - Melamine resins,,7.50,7.50,2,,,,Ukraine
390930 - Other amino-resins,,7.50,7.50,2,,,,Ukraine
390940 - Phenolic resins,,7.50,7.50,7,,,,Ukraine
390950 - Polyurethanes,,7.50,7.50,1,,,,Ukraine
391000 Silicones in primary forms.,"101,078",7.50,7.50,3,,,,Ukraine
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,7.50,7.50,2,,,,Ukraine
391190 - Other,,7.50,7.50,2,,,,Ukraine
391211 -- Non-plasticised,,7.50,7.50,5,,,,Ukraine
391212 -- Plasticised,,7.50,7.50,4,,,,Ukraine
391220 - Cellulose nitrates (including collodions),,7.50,7.50,4,,,,Ukraine
391231 -- Carboxymethylcellulose and its salts,,7.50,7.50,1,,,,Ukraine
391239 -- Other,,7.50,7.50,6,,,,Ukraine
391290 - Other,,7.50,7.50,3,,,,Ukraine
"391310 - Alginic acid, its salts and esters",,7.50,7.50,2,,,,Ukraine
391390 - Other,,7.50,7.50,5,,,,Ukraine
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,7.50,7.50,3,,,,Ukraine
391510 - Of polymers of ethylene,,7.50,7.50,1,,,,Ukraine
391520 - Of polymers of styrene,,7.50,7.50,1,,,,Ukraine
391530 - Of polymers of vinyl chloride,"11,906",7.50,7.50,2,,,,Ukraine
